sample,image,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63
24,1,-0.5622488,0.0022300654,-0.0032801102,-0.007913461,0.0013781665,-0.0006159446,-2.00161,-0.002527765,-1.601507,-0.028848521,1.9240474,-0.22100335,0.004185967,-0.4877401,-0.005165398,-1.4326262,-0.8570751,0.8088522,-0.003377797,-0.6872254,0.66691566,-1.1297146,0.11381375,0.009878389,0.351946,0.85017985,2.273462,1.7275959,-0.61319226,-1.3633354,-0.00017529726,-0.0063073207,1.4082757,-0.014118314,0.003486949,0.004074458,-0.0018651392,0.0007740117,0.006077635,-0.010060248,0.6665077,-1.4217182,-0.9603159,-0.50138533,-0.0038033333,-0.008367301,1.4823557,0.562441,0.015902532,-1.911819e-05,0.6083502,0.004890945,-0.011608586,-3.603287e-05,0.04328168,-0.0012193171,1.5693684,-0.0029498767,1.0008936,-0.5311418,-0.0050537083,-1.2993221,1.3519841,-1.0910729
24,1,-0.66208094,-0.0039896155,0.007260112,0.0023378264,0.0034697624,0.019074861,-0.8421972,0.0050323843,-0.6502646,-0.08909627,1.3880281,-1.5803576,0.006030301,-0.8668215,-0.005341472,0.7146764,-0.53239655,-0.20203623,0.0037696008,0.9192981,-0.43894264,-0.115139976,0.26518473,0.0015290743,-1.9371039,0.709348,1.151608,-0.26924235,-0.18030864,0.07479829,-0.005096568,0.0018323604,-1.0872166,2.2928941,-0.0039796885,-0.010706825,-0.0061705774,0.0027475194,0.0013940837,0.0061251107,-1.6112921,2.106381,-1.2849379,-0.3441852,0.0106576495,-0.002389823,1.3628807,1.9374231,0.0032635946,0.021425791,-0.08496901,0.0033549939,-0.00748954,-0.016137887,0.03077557,0.0024397657,0.9484013,0.002943296,1.4665984,2.8824077,-0.0075996825,0.16182977,-0.96571594,-1.4744085
24,1,-0.79285836,0.0029343404,0.007351447,-0.0055300426,-0.0038028723,-0.010404324,0.5788865,-0.008373673,-1.5197885,-0.09946626,0.2859021,0.0873096,-0.015238109,0.96931636,0.0052700564,0.24637382,0.58862513,-0.38445738,-0.002792202,-1.9418406,0.9034087,0.7903829,-1.387275,-0.0046709175,0.046423856,-1.0402325,0.10776377,-1.1639004,0.35153723,-1.5414135,0.013551838,0.00817449,1.3902906,-1.1880457,0.0012914361,0.003938174,-0.00054304395,0.010569831,-0.016593246,0.005529257,-1.6968743,-0.7936873,0.20112768,0.56435865,-0.00891011,0.0027502747,-3.0285015,1.3247831,0.013124457,-0.0042922813,0.2775737,-0.009024094,-0.0091747455,0.0042842235,0.058850683,-0.0052610906,0.2923922,-0.014094105,-1.0162884,0.030445106,0.008245137,-2.0621617,0.5835085,-0.015205488
24,1,0.036200084,-0.003964912,0.0017262734,-0.008908434,-0.00328545,0.011658365,2.110515,0.004231954,-1.156913,-0.011933237,-0.01699343,-2.6182525,-0.017071746,-0.30679655,-0.00074877776,-0.5813561,0.7049141,-0.4142657,-0.0048784055,0.6004294,1.290152,-1.2715648,-1.9028207,0.0050327284,-1.3042895,0.24301524,-0.23966245,-0.9583121,0.41986865,-0.40748855,0.007312836,0.006746007,0.5496455,0.7132272,-0.0014779121,0.010763917,-0.003185642,0.008509716,-0.007944174,-0.0021091942,-0.75044334,-0.26167715,-0.5902788,0.5511505,0.0018944889,-0.0037173582,1.1915039,1.1139618,0.011063674,-0.0047508236,-0.8356555,-0.0018921049,-0.009049902,0.0047364105,0.030091949,-0.011823315,0.9519804,-0.010877954,0.92637956,0.63283217,0.001178097,-2.5907326,-2.587736,0.052366003
24,1,1.3898207,0.0003384417,0.007641459,-0.0009415224,-0.017642621,-0.0044231284,0.7872151,-0.015115376,0.6025155,-0.085825525,-0.06047551,-0.67245203,-0.02013513,-0.73215026,0.016037313,-1.367667,-0.8304565,1.8921332,0.00015007146,2.1239507,-0.9535073,-0.75532097,-3.0049372,0.015027081,-1.102558,0.3924623,0.4324865,0.7750386,1.7453988,0.9475742,-0.0031861868,0.009253599,-0.37632045,0.24300952,0.007969657,-0.004851695,-0.0059486968,-0.0015938999,9.974092e-05,0.005455701,1.0457858,-0.34828803,-0.57023704,0.78283244,-0.0063859336,0.0034185015,-0.0013866816,-0.022130504,0.007065205,-0.00779457,-0.99711007,0.004308857,-0.015279676,0.008162977,0.030248553,-0.002904175,0.81336766,-0.01004448,-0.16261701,2.045605,-0.009423653,-1.8550713,0.20354684,1.6019831
24,1,0.20853275,0.0038808612,0.013088079,-0.010619972,0.009934167,0.007924916,0.8249059,0.0027853344,-1.0840316,-0.046559483,0.48728225,0.45594475,-0.008706317,0.78371364,-0.0037232433,-1.5544266,-0.8683659,-2.3027818,-0.003456708,-1.6768565,-0.24570364,1.9520127,1.7825962,-0.0039708717,-0.04479715,0.3794937,-0.2872236,-0.83101374,-1.3734756,0.06095738,0.00075433496,-0.000517969,0.9577593,-1.4912945,-0.0024881745,0.010115791,-0.0029867748,-0.003900771,-0.027175108,-0.007640353,-1.5176835,0.26822913,0.479541,0.08055082,-0.005210489,-0.007449127,1.6568938,0.086547464,0.021486076,-0.013681468,0.10039804,-0.010818972,-0.01625245,-0.006486326,0.060812257,-0.0036874746,0.19191484,-0.0017252658,-0.035533592,1.8701181,0.014430812,-0.005225569,-1.968476,-0.5121413
24,1,-0.11272689,-0.013964989,0.014375875,0.0037589502,0.004887366,0.0021748967,-2.0496428,0.0084804185,0.13348782,0.017246522,0.91000944,0.16306952,0.006586729,-2.168541,0.005997559,0.39081597,1.0960536,-0.11027757,0.0015902556,0.2816555,-0.523963,2.0343978,-0.34896547,-0.008513693,-0.47367138,1.3982112,0.15882751,-0.18908675,-0.18178868,-0.28862712,-0.0030938871,0.010283716,0.5667526,-0.45594236,0.00043751858,-0.010671015,0.00073451735,-0.01137855,-0.0068969,-0.005938324,1.0831565,2.4532702,-1.3584216,1.9134649,-0.0068679783,0.0034721969,-1.233801,-0.1922163,0.0029255971,0.008941237,0.643357,0.009353831,-0.011631389,0.013674727,-0.0008837655,-0.007289944,1.8767544,0.004696982,-1.8816292,0.5802578,0.015155038,-0.84334517,1.6453973,-1.3462886
24,1,0.28891367,-0.00050311256,-0.0016051373,0.0061633084,-0.004430172,-0.011845181,-1.407612,-0.015590944,0.77071613,-0.044131123,1.6847546,-0.5213551,-0.0031995624,0.2574641,0.0044511836,0.6249005,-0.7881898,-0.73584485,0.0011219103,0.8986068,1.9426064,1.6242521,-1.3469759,-0.013325732,0.2703833,-0.64361924,0.020148236,-3.0407066,0.7327759,-1.3197862,0.002794547,0.01237574,0.34586763,-0.6774324,-0.0010098685,-5.3286552e-05,0.0013296427,0.0036520697,-0.018932013,0.0036510946,-0.9380052,0.2636503,-0.023892516,0.26221135,-0.0068313805,0.00783837,0.10610821,1.5114399,0.005761726,-0.010610696,-1.761879,-0.00590483,-0.012550258,0.0033679642,-0.07037449,0.001176738,0.1856212,-0.006745139,-0.94678843,-0.29088053,0.0026204204,0.12950554,-1.1716193,0.68179333
24,1,0.57311374,0.014422233,0.015722562,-0.0030097049,-0.009232265,-0.0012567486,0.8825984,-0.0036464855,-2.3806813,-0.057127677,-0.27732828,-0.85349154,-0.0036910232,-1.1493273,0.009230664,-0.19536684,0.072433904,-0.40739378,0.0006618872,-1.098809,-0.32083505,0.417504,-0.4098373,0.0023216894,-0.5123554,0.3152244,-2.4861264,1.0330838,0.090367146,-2.2482066,0.0030663526,0.00475345,-0.06586367,-1.2222161,0.004535567,0.0064611584,-0.0020073922,0.0026855976,-0.0070250537,0.0013512712,1.0182812,-0.038159423,-1.4788373,0.4206902,-0.00022464804,0.006953225,1.1178805,-0.1603284,0.012195351,-0.0026180483,0.4194191,-0.0050744163,-0.012539481,0.012642961,-0.015803378,0.010327203,2.111569,-0.0106835235,-0.1537037,2.1045227,0.011428686,-1.0501239,0.2430668,0.61742324
24,1,0.21917465,-0.0055252807,0.010390215,-0.009869723,-0.008876284,-0.0072732707,-1.2433562,0.0012959177,1.4921908,-0.040141776,1.9737422,-2.056089,-0.0025690729,0.7862229,0.003922822,-1.008073,0.3791524,2.5915208,0.0024273247,0.73559695,0.10302014,1.6343106,-0.9462035,-0.006032429,1.1818784,0.7327724,-0.102296636,0.30166268,2.552897,0.41796625,0.007931754,0.0073653096,0.23494226,0.62972975,-0.0025521806,-0.006215669,-0.016259758,-0.003184726,-0.008244811,0.006365674,1.6121136,1.1014907,-0.32622775,-0.2514778,0.0067296643,-0.018521745,0.039930724,1.904451,0.0085980315,0.014234855,-0.3051656,0.0013523783,-0.010106138,-0.0003541205,0.079002626,0.0055276603,-1.3680891,0.0030063167,-0.29048228,0.01418791,0.00032005832,-0.28743184,0.8932236,-0.27358168
