Epoch 266, Loss: 814956.8973214285
Epoch 267, Loss: 814868.4508928572
Epoch 268, Loss: 814378.6517857143
Epoch 269, Loss: 817719.6741071428
Epoch 270, Loss: 819755.1651785715
Epoch 271, Loss: 819619.7366071428
Epoch 272, Loss: 814394.9464285715
Epoch 273, Loss: 813814.7991071428
Epoch 274, Loss: 813041.9955357143
Epoch 275, Loss: 812333.7678571428
Epoch 276, Loss: 812075.2232142857
Epoch 277, Loss: 813042.125
Epoch 278, Loss: 832353.7321428572
Epoch 279, Loss: 816458.5446428572
Epoch 280, Loss: 814531.1294642857
Epoch 281, Loss: 814990.3660714285
Epoch 282, Loss: 812681.3169642857
Epoch 283, Loss: 812370.5223214285
Epoch 284, Loss: 811068.0803571428
Epoch 285, Loss: 810724.4285714285
Epoch 286, Loss: 810447.2946428572
Epoch 287, Loss: 813289.21875
Epoch 288, Loss: 810192.9508928572
Epoch 289, Loss: 810483.4241071428
Epoch 290, Loss: 814142.5803571428
Epoch 291, Loss: 813143.8482142857
Epoch 292, Loss: 815173.6607142857
Epoch 293, Loss: 815676.2723214285
Epoch 294, Loss: 810905.4241071428
Epoch 295, Loss: 809046.0982142857
Epoch 296, Loss: 809473.5223214285
Epoch 297, Loss: 811324.6696428572
Epoch 298, Loss: 816858.125
Epoch 299, Loss: 818483.8125
Epoch 300, Loss: 809627.8571428572
Epoch 301, Loss: 808193.75
Epoch 302, Loss: 807783.8526785715
Epoch 303, Loss: 809055.8616071428
Epoch 304, Loss: 810497.4910714285
Epoch 305, Loss: 810048.8928571428
Epoch 306, Loss: 808378.1205357143
Epoch 307, Loss: 805814.1785714285
Epoch 308, Loss: 805520.3258928572
Epoch 309, Loss: 806435.9017857143
Epoch 310, Loss: 804885.8169642857
Epoch 311, Loss: 807424.8392857143
Epoch 312, Loss: 805420.1428571428
Epoch 313, Loss: 803534.6651785715
Epoch 314, Loss: 806281.8482142857
Epoch 315, Loss: 845391.1919642857
Epoch 316, Loss: 845554.0535714285
Epoch 317, Loss: 837595.5089285715
Epoch 318, Loss: 818591.8928571428
Epoch 319, Loss: 813088.8616071428
Epoch 320, Loss: 808796.7232142857
Epoch 321, Loss: 806894.1919642857
Epoch 322, Loss: 804078.7276785715
Epoch 323, Loss: 803277.0982142857
Epoch 324, Loss: 802801.3080357143
Epoch 325, Loss: 802443.3839285715
Epoch 326, Loss: 801935.8526785715
Epoch 327, Loss: 801545.9017857143
Epoch 328, Loss: 801772.1205357143
Epoch 329, Loss: 800641.2723214285
Epoch 330, Loss: 800679.7991071428
Epoch 331, Loss: 801037.2008928572
Epoch 332, Loss: 801200.0401785715
Epoch 333, Loss: 801496.6339285715
Epoch 334, Loss: 801618.5625
Epoch 335, Loss: 800012.28125
Epoch 336, Loss: 801278.4464285715
Epoch 337, Loss: 801460.4776785715
Epoch 338, Loss: 801369.3883928572
Epoch 339, Loss: 799523.5089285715
Epoch 340, Loss: 798058.7589285715
Epoch 341, Loss: 797411.4196428572
Epoch 342, Loss: 798043.4285714285
Epoch 343, Loss: 797029.2232142857
Epoch 344, Loss: 804463.59375
Epoch 345, Loss: 798267.0267857143
Epoch 346, Loss: 798268.5714285715
Epoch 347, Loss: 801724.0044642857
Epoch 348, Loss: 803480.3883928572
Epoch 349, Loss: 797231.0803571428
Epoch 350, Loss: 796424.1964285715
Epoch 351, Loss: 796298.1830357143
Epoch 352, Loss: 795725.0178571428
Epoch 353, Loss: 794853.5
Epoch 354, Loss: 797108.5446428572
Epoch 355, Loss: 802395.3214285715
Epoch 356, Loss: 799286.8348214285
Epoch 357, Loss: 794307.9419642857
Epoch 358, Loss: 793921.2008928572
Epoch 359, Loss: 793753.2455357143
Epoch 360, Loss: 795185.9107142857
Epoch 361, Loss: 798666.1741071428
Epoch 362, Loss: 795180.5089285715
Epoch 363, Loss: 792839.25
Epoch 364, Loss: 795652.3571428572
